frag_code,site,depth,species,length_septa,sum_septa,distance_between_polyp
cc_10_mcav_1,coral_city,10,mcav,0.542,24,0.67
cc_10_mcav_2,coral_city,10,mcav,0.448,21,0.583
cc_10_mcav_3,coral_city,10,mcav,0.357,18,0.628
cc_10_mcav_4,coral_city,10,mcav,0.561,22,0.688
cc_10_mcav_6,coral_city,10,mcav,0.583,21,0.746
cc_10_mcav_7,coral_city,10,mcav,0.423,19,0.625
cc_10_mcav_9,coral_city,10,mcav,0.353,20,0.555
cc_20_mcav_1,coral_city,20,mcav,0.418,20,0.736
cc_20_mcav_2,coral_city,20,mcav,0.567,21,0.839
cc_20_mcav_3,coral_city,20,mcav,0.62,22,0.839
cc_20_mcav_5,coral_city,20,mcav,0.504,22,0.831
cc_20_mcav_6,coral_city,20,mcav,0.86,24,0.836
cc_20_mcav_7,coral_city,20,mcav,0.703,24,0.763
cc_20_mcav_8,coral_city,20,mcav,0.646,26,1.079
cc_30_mcav_1,coral_city,30,mcav,1.336,26,1.516
cc_30_mcav_2,coral_city,30,mcav,0.654,22,0.728
cc_30_mcav_4,coral_city,30,mcav,1.144,23,1.076
cc_30_mcav_6,coral_city,30,mcav,0.806,26,1.078
cc_30_mcav_7,coral_city,30,mcav,1.105,24,1.329
cc_30_mcav_8,coral_city,30,mcav,0.601,23,0.977
cc_40_mcav_1,coral_city,40,mcav,0.721,23,1.25
cc_40_mcav_2,coral_city,40,mcav,0.47,22,1.271
cc_40_mcav_3,coral_city,40,mcav,0.853,21,1.249
cc_40_mcav_4,coral_city,40,mcav,0.522,20,0.764
cc_40_mcav_5,coral_city,40,mcav,0.681,23,0.79
cc_40_mcav_6,coral_city,40,mcav,0.569,24,0.804
cc_50_mcav_1,coral_city,50,mcav,0.753,26,0.84
cc_50_mcav_2,coral_city,50,mcav,0.961,24,1.804
cc_50_mcav_4,coral_city,50,mcav,0.503,26,0.813
cc_50_mcav_9,coral_city,50,mcav,0.817,23,1.286
cc_50_mcav_5,coral_city,50,mcav,1.065,24,1.235
cc_50_mcav_7,coral_city,50,mcav,0.613,22,0.786
cc_50_mcav_8,coral_city,50,mcav,0.914,27,1.429
mf_10_mcav_1,marthas_finyard,10,mcav,0.417,22,0.562
mf_10_mcav_2,marthas_finyard,10,mcav,0.386,23,0.567
mf_10_mcav_4,marthas_finyard,10,mcav,0.545,25,0.658
mf_10_mcav_5,marthas_finyard,10,mcav,0.796,19,0.86
mf_10_mcav_6,marthas_finyard,10,mcav,0.644,24,1.142
mf_10_mcav_7,marthas_finyard,10,mcav,0.509,19,0.73
mf_10_mcav_8,marthas_finyard,10,mcav,0.546,22,0.905
mf_20_mcav_1,marthas_finyard,20,mcav,0.593,21,1.184
mf_20_mcav_3,marthas_finyard,20,mcav,0.772,24,1.225
mf_20_mcav_5,marthas_finyard,20,mcav,0.558,24,0.956
mf_20_mcav_6,marthas_finyard,20,mcav,0.826,20,1.313
mf_20_mcav_7,marthas_finyard,20,mcav,0.77,24,0.738
mf_20_mcav_8,marthas_finyard,20,mcav,0.733,20,0.674
mf_20_mcav_4,marthas_finyard,20,mcav,0.634,21,1.017
mf_30_mcav_1,marthas_finyard,30,mcav,0.743,22,1.079
mf_30_mcav_4,marthas_finyard,30,mcav,0.878,25,1.733
mf_30_mcav_5,marthas_finyard,30,mcav,1.08,24,1.51
mf_30_mcav_6,marthas_finyard,30,mcav,0.561,18,1.172
mf_30_mcav_7,marthas_finyard,30,mcav,0.808,21,1.164
mf_30_mcav_8,marthas_finyard,30,mcav,0.611,21,0.907
mf_40_mcav_2,marthas_finyard,40,mcav,1.228,22,1.483
mf_40_mcav_3,marthas_finyard,40,mcav,0.736,18,1.42
mf_40_mcav_4,marthas_finyard,40,mcav,0.809,22,1.448
mf_40_mcav_5,marthas_finyard,40,mcav,0.864,24,1.407
mf_40_mcav_7,marthas_finyard,40,mcav,0.491,22,0.707
mf_40_mcav_8,marthas_finyard,40,mcav,0.935,24,1.876
mf_50_mcav_3,marthas_finyard,50,mcav,0.651,22,1.202
mf_50_mcav_4,marthas_finyard,50,mcav,0.724,23,1.06
mf_50_mcav_5,marthas_finyard,50,mcav,0.64,19,0.879
mf_50_mcav_6,marthas_finyard,50,mcav,0.566,23,1.145
mf_50_mcav_7,marthas_finyard,50,mcav,0.532,15,0.825
mf_50_mcav_9,marthas_finyard,50,mcav,0.671,18,0.988
