frag_code,site,depth,replicate,species,septa_width
cc_mcav_50_1,coral_city,50,,mcav,0.07
cc_mcav_50_1,coral_city,50,,mcav,0.059
cc_mcav_50_1,coral_city,50,,mcav,0.06
cc_mcav_50_1,coral_city,50,,mcav,0.056
mf_mcav_10_4,marthas_finyard,10,,mcav,0.045
mf_mcav_10_4,marthas_finyard,10,,mcav,0.039
mf_mcav_10_4,marthas_finyard,10,,mcav,0.055
mf_mcav_10_4,marthas_finyard,10,,mcav,0.056
mf_mcav_10_8,marthas_finyard,10,,mcav,0.055
mf_mcav_10_8,marthas_finyard,10,,mcav,0.045
mf_mcav_10_8,marthas_finyard,10,,mcav,0.052
mf_mcav_10_8,marthas_finyard,10,,mcav,0.052
mf_mcav_20_6,marthas_finyard,20,,mcav,0.058
mf_mcav_20_6,marthas_finyard,20,,mcav,0.063
mf_mcav_20_6,marthas_finyard,20,,mcav,0.068
mf_mcav_20_6,marthas_finyard,20,,mcav,0.08
mf_mcav_20_8,marthas_finyard,20,,mcav,0.051
mf_mcav_20_8,marthas_finyard,20,,mcav,0.052
mf_mcav_20_8,marthas_finyard,20,,mcav,0.048
mf_mcav_20_8,marthas_finyard,20,,mcav,0.045
mf_mcav_30_3,marthas_finyard,30,,mcav,0.06
mf_mcav_30_3,marthas_finyard,30,,mcav,0.047
mf_mcav_30_3,marthas_finyard,30,,mcav,0.055
mf_mcav_30_3,marthas_finyard,30,,mcav,0.053
mf_mcav_30_8,marthas_finyard,30,,mcav,0.061
mf_mcav_30_8,marthas_finyard,30,,mcav,0.054
mf_mcav_30_8,marthas_finyard,30,,mcav,0.07
mf_mcav_30_8,marthas_finyard,30,,mcav,0.067
mf_mcav_40_5,marthas_finyard,40,,mcav,0.051
mf_mcav_40_5,marthas_finyard,40,,mcav,0.049
mf_mcav_40_5,marthas_finyard,40,,mcav,0.05
mf_mcav_40_5,marthas_finyard,40,,mcav,0.052
mf_mcav_40_6,marthas_finyard,40,,mcav,0.053
mf_mcav_40_6,marthas_finyard,40,,mcav,0.039
mf_mcav_40_6,marthas_finyard,40,,mcav,0.041
mf_mcav_40_6,marthas_finyard,40,,mcav,0.042
mf_mcav_50_1,marthas_finyard,50,,mcav,0.057
mf_mcav_50_1,marthas_finyard,50,,mcav,0.063
mf_mcav_50_1,marthas_finyard,50,,mcav,0.055
mf_mcav_50_1,marthas_finyard,50,,mcav,0.048
mf_mcav_50_5,marthas_finyard,50,,mcav,0.043
mf_mcav_50_5,marthas_finyard,50,,mcav,0.041
mf_mcav_50_5,marthas_finyard,50,,mcav,0.052
mf_mcav_50_5,marthas_finyard,50,,mcav,0.036
mf_mcav_10_1,marthas_finyard,10,,mcav,0.035
mf_mcav_10_1,marthas_finyard,10,,mcav,0.044
mf_mcav_10_1,marthas_finyard,10,,mcav,0.046
mf_mcav_10_1,marthas_finyard,10,,mcav,0.04
mf_mcav_20_7,marthas_finyard,20,,mcav,0.056
mf_mcav_20_7,marthas_finyard,20,,mcav,0.051
mf_mcav_20_7,marthas_finyard,20,,mcav,0.052
mf_mcav_20_7,marthas_finyard,20,,mcav,0.059
mf_mcav_30_1,marthas_finyard,30,,mcav,0.074
mf_mcav_30_1,marthas_finyard,30,,mcav,0.077
mf_mcav_30_1,marthas_finyard,30,,mcav,0.062
mf_mcav_30_1,marthas_finyard,30,,mcav,0.064
mf_mcav_30_5,marthas_finyard,30,,mcav,0.072
mf_mcav_30_5,marthas_finyard,30,,mcav,0.07
mf_mcav_30_5,marthas_finyard,30,,mcav,0.074
mf_mcav_30_5,marthas_finyard,30,,mcav,0.07
mf_mcav_40_2,marthas_finyard,40,,mcav,0.053
mf_mcav_40_2,marthas_finyard,40,,mcav,0.06
mf_mcav_40_2,marthas_finyard,40,,mcav,0.059
mf_mcav_40_2,marthas_finyard,40,,mcav,0.058
mf_mcav_50_4,marthas_finyard,50,,mcav,0.056
mf_mcav_50_4,marthas_finyard,50,,mcav,0.059
mf_mcav_50_4,marthas_finyard,50,,mcav,0.048
mf_mcav_50_4,marthas_finyard,50,,mcav,0.059
